Rank,Pos,Number,Inactive,Rookie,Name,Team,GP,G,A,PTS,PM,PIM,PPG
260,D,2,,,"Renwick, Michael",HAM,59,3,14,17,2,42,0
261,RW,25,,*,"Christopoulos, Alex",NB,57,12,4,16,-34,10,2
262,RW,11,,,"De Simone, Jonah",NIAG,63,10,6,16,-28,22,1
263,C,72,,,"Johnson, Bradey",HAM,61,8,8,16,-1,15,0
264,RW,88,,,"Manikis, Kosta",SBY,42,7,9,16,-7,24,1
265,D,22,,*,"Smith, Mitchell",SAG,56,7,9,16,1,27,0
266,LW,21,,,"Winterton, Jacob",OSH,58,7,9,16,1,12,1
267,LW,22,,,"Caines, Harrison",NB,62,7,9,16,-37,48,0
268,C,15,,*,"Frasca, Jacob",BAR,51,6,10,16,-4,26,0
269,LW,17,,,"Little, Michael",PBO,54,6,10,16,-4,55,2
270,D,98,,,"Roberts, Elijah",NIAG,45,2,14,16,-38,27,0
271,D,10,,,"Howard, Mason",NIAG,54,8,7,15,-24,49,1
272,RW,26,,,"Parker-Jones, John",PBO,56,8,7,15,4,74,0
273,RW,11,,,"Rowe, Lucas",KGN,59,8,7,15,-10,35,0
274,LW,8,,,"Doherty, Jackson",NIAG,57,7,8,15,-27,62,0
275,C,9,,*,"Zhilkin, Danny",GUE,60,7,8,15,-5,22,1
276,C,39,,*,"Sherk, Lawson",HAM,62,5,10,15,2,42,1
277,D,26,,*,"Ottavainen, Ville",KIT,53,4,11,15,2,20,0
278,D,42,,,"Stratis, Peter",SAR,56,3,12,15,-16,34,2
279,D,43,,,"Murray, Jake",KGN,62,3,12,15,-16,18,0
280,D,20,,,"Henderson, Braden",NB,48,2,13,15,-33,30,0
281,D,63,,,"Ross, Liam",SBY,63,2,13,15,19,42,0
282,LW,24,,*,"Papais, Matthew",GUE,53,10,4,14,-2,28,0
283,LW,17,,*,"Bloom, Josh",SAG,54,6,8,14,-5,9,0
284,RW,10,,,"Denault, Chad",NB,58,6,8,14,-10,25,0
285,C,19,,*,"Serpa, Joseph",KIT,50,5,9,14,3,12,0
286,RW,43,,*,"Codd, Davis",SAG,53,5,9,14,1,10,0
287,D,77,,,"Kammerer, Colton",SAR,49,4,10,14,-15,39,0
288,RW,81,,,"Maggio, Matthew",WSR,45,3,11,14,2,8,0
289,D,22,,,"Stevenson, Thomas",WSR,51,3,11,14,15,23,0
290,D,6,,,"Vescio, Payton",HAM,61,3,11,14,-9,20,0
291,D,45,,,"Keane, Gerard",LDN,55,2,12,14,-1,68,0
292,D,42,,,"Brewer, Mitchell",OSH,60,2,12,14,-9,64,0
293,LW,13,,*,"Snow, Cameron",NIAG,57,7,6,13,-30,4,1
294,D,4,,,"Chibrikov, Igor",OS,55,6,7,13,7,26,0
295,LW,98,,,"Yule, Quinn",FLNT,56,4,9,13,-3,46,1
296,RW,91,,*,"Zito, Pasquale",WSR,46,3,10,13,-3,27,0
297,D,8,,*,"Winslow, Avery",NB,40,2,11,13,0,12,0
298,D,6,,,"Rippon, Merrick",OTT,36,1,12,13,18,63,0
299,D,7,,,"Bianconi, Michael",GUE,54,1,12,13,-4,18,0
300,D,26,,*,"Profaca, Luka",GUE,49,0,13,13,-3,22,0
301,RW,15,,,"Tymkin, Cole",LDN,33,6,6,12,3,73,1
302,RW,23,,,"Mack, Joseph",SAR,49,5,7,12,-15,16,1
303,LW,13,,*,"Boudreau, Marc",SOO,59,4,8,12,-2,51,0
304,LW,93,,*,"Callens, Maddox",KGN,51,3,9,12,-14,24,0
305,D,53,,*,"Morton, Cameron",ER,58,3,9,12,-12,46,0
306,D,28,,,"Woolley, Mark",OS,50,2,10,12,10,49,0
307,RW,11,,,"Varga, Adam",OTT,56,7,4,11,-9,4,0
308,C,61,,,"Theriault, Lucas",NIAG,48,5,6,11,-34,8,0
309,D,74,,,"Wilde, Bode",SAG,11,4,7,11,0,14,1
310,D,4,,*,"Christopoulos, Paul",NB,53,4,7,11,-41,31,2
311,LW,9,,*,"Currie, Josh",NB,54,4,7,11,-18,22,0
312,C,10,,*,"Avon, J.R.",PBO,56,4,7,11,-1,18,0
313,D,5,,,"Ennis, William",OSH,58,4,7,11,-14,37,0
314,D,52,,,"Phillips, Markus",LDN,25,3,8,11,26,13,0
315,LW,16,,,"Playfair, Chris",WSR,56,3,8,11,-3,11,0
316,LW,74,,*,"Sedore, Noah",ER,48,2,9,11,-10,17,0
317,D,25,,*,"Jesus, David",OSH,61,2,9,11,4,29,0
318,D,46,,*,"Motew, Simon",KIT,34,1,10,11,11,21,0
319,D,3,,*,"Mast, Ryan",SAR,58,1,10,11,-15,31,0
320,C,21,,*,"Crete, Yanic",OTT,41,7,3,10,-1,13,1
321,C,3,,*,"Agostinelli, Anthony",NIAG,50,5,5,10,-27,12,0
322,C,14,,,"McLean, Cullen",SOO,57,5,5,10,-13,18,1
323,C,86,,*,"Burke, Nolan",SAR,44,4,6,10,-18,4,0
324,LW,15,,*,"McMullen, Keegan",PBO,44,3,7,10,2,12,0
